,section-0-question-0,section-0-question-1,section-0-question-2,section-0-question-3,section-0-question-4,section-0-question-5,section-0-question-6,section-0-question-7,section-0-question-8,section-0-question-9,section-0-question-10,section-1-question-0,section-0-question-11,section-1-question-1,section-0-question-12,section-1-question-2,section-0-question-13,section-1-question-3,section-1-question-4,section-1-question-5,section-1-question-6,section-1-question-7,section-1-question-8,section-1-question-9,section-2-question-0,section-2-question-1,section-2-question-2,section-2-question-3,section-2-question-4,section-2-question-5,section-2-question-6,section-2-question-7,section-2-question-8,section-1-question-10,section-1-question-11,section-1-question-12,section-1-question-13,section-1-question-14,uid,sid,control,transitionType,interfaceID
92,6,5,6,6,4,6,4,7,4,4,6,Somewhat agree,6,Strongly agree,5,Somewhat agree,6, Everett McKay is Principal of UX Design Edge and has over 30 years' experience in ... I. Why user interfaces need to be more intuitive ... use of Cancel); icon comprehension test; and eye-tracking to improve discoverability.,Somewhat agree,ITS TOO NICE TO CONTROL THE INTERFACE.,Somewhat agree,Somewhat agree,NO NO ERROR OCCURS .,Neither agree/nor disagree,30,Male,"Everyday, during a majority of business hours",Once or twice a week,,A mouse,,Mouse buttons,,,Somewhat agree,Somewhat agree,Somewhat agree,,P3fsHwnfB0aIICchs0qWh2n5abB3,-MHONJ2f8_OnHzhqVU8j,target,click,target-click
93,6,7,7,7,7,6,7,7,7,6,6,Strongly agree,6,Strongly agree,7,Strongly agree,7,good,Strongly agree,nice,Strongly agree,Strongly agree,good,Strongly agree,30,Male,"Everyday, during a majority of business hours","Everyday, a few hours",good,A mouse,good,Mouse buttons,good survey ,Nice,Strongly agree,Strongly agree,Strongly agree,Good ,PPXYXvZf4QNt9dwwJIaUS5mCp0u1,-MGz-oiQ4BomosjME0uI,arrow,press/release,arrow-press/release
94,6,7,5,7,6,6,7,6,5,6,5,Somewhat agree,5,Somewhat agree,5,Neither agree/nor disagree,6,With more graphics.,Somewhat agree,If the target has a small range.,Somewhat agree,Neither agree/nor disagree,"It could be ,ore fast.",Somewhat agree,29,Male,"Everyday, during a majority of business hours","Everyday, a few hours","RPG, Story type",A mouse,I wanted to be accurately as possible.,Mouse buttons,The mouse is wired.,The sensitivity could be higher.,Somewhat agree,Neither agree/nor disagree,Somewhat agree,It can be more colorful and graphical.,PRKaGTNJtyVnNM9wH4RiBs254uu1,-MHO2XvWi5NjSsMjyXCj,arrow,click,arrow-click
95,7,7,6,7,6,7,6,7,6,7,5,Strongly disagree,6,Somewhat agree,7,Strongly agree,7,none,Strongly disagree,"none

",Strongly agree,Somewhat agree,none,Strongly disagree,30,Male,"Everyday, a few hours","Everyday, a few hours",lenovo,A trackpad,Including results for Please describe any relevant details about the device or interface you used for moving the cursor.,Trackpad buttons,Trackpad buttons,none,Strongly disagree,Strongly agree,Strongly agree,none,PUrPI1YlkUVCExtPnjHtyd208Hh2,-MGzT2oUBbwc3jFVwwtU,panel,press/release,panel-press/release
96,5,3,3,4,2,2,6,6,2,1,6,Somewhat agree,7,Strongly agree,6,Strongly agree,3,I think it was great,Strongly agree,I don't think that there is room for improvement,Strongly disagree,Strongly disagree,I didn't notice any errors,Somewhat agree,32,Female,"Everyday, a few hours",Once or twice a week,Card games,A mouse,,Mouse buttons,,It moved perfectly with my mouse,Strongly agree,Somewhat agree,Strongly disagree,No,PXIwiwasToXfNUlxZJI3bashyvv1,-MGssm2PpHkby_h5b0SH,target,click,target-click
97,4,2,1,2,1,2,5,4,3,2,4,Somewhat disagree,6,Strongly agree,6,Strongly agree,3,Allow the button to be held down while moving the object.,Somewhat agree,allow diagonal movement,Somewhat disagree,Somewhat agree,allow diagonal movement and constant control,Neither agree/nor disagree,61,Male,"Everyday, during a majority of business hours","Everyday, less than an hour",strategy ,A mouse,basic 2 button mouse with a wheel,Mouse buttons,wireless mouse,I don't know,Strongly agree,Somewhat disagree,Neither agree/nor disagree,no,Pjk7M7JWveTOXsaWzZNJ78TQK4m2,-MHO1w1RPeQXVGNDA3O0,arrow,click,arrow-click
98,7,2,1,6,2,5,6,6,1,1,4,Somewhat agree,7,Strongly agree,7,Strongly agree,1,Nothing. It is already better.,Strongly agree,Nothing. It is already better.,Somewhat disagree,Neither agree/nor disagree,Nothing. It is already better.,Somewhat agree,42,Female,"Everyday, a few hours","Everyday, a few hours",puzzle,A mouse,,Mouse buttons,,Nothing. It is already better.,Somewhat agree,Strongly agree,Neither agree/nor disagree,Nothing. It is already better.,PrwwqSg9sGdOgGSjmYIgke2aHAD3,-MHOQbyNJhG7PAk_42QB,drag,press/release,drag-press/release
99,7,7,7,6,5,6,7,5,7,1,7,Somewhat agree,7,Somewhat agree,2,Somewhat agree,2,more easy control  interface,Somewhat agree,slow is good,Somewhat agree,Somewhat disagree,none,Somewhat agree,40,Male,"Everyday, during a majority of business hours","Everyday, a few hours",car race,A mouse,none,Mouse buttons,none,mouse control is best,Somewhat agree,Strongly agree,Somewhat agree,no,Pu4E7vuwd6Y5qSTLVWvu1GoztLu1,-MGtK2NXMHiGAbvyo2DQ,panel,click,panel-click
100,6,5,3,4,5,4,4,5,4,2,5,Somewhat agree,5,Strongly agree,4,Somewhat agree,4,"Needs to be a little bit more responsive, the small delay caused my wrist to fatigue fast.",Somewhat agree,Again remove the delay.,Somewhat agree,Somewhat agree,"If you hold the arrow to long, it wont stop until a bit after letting go the arrow button.",Somewhat agree,38,Male,"Everyday, a few hours",Once or twice a week,rpgs,A mouse,I use a basic mouse to regular movements.,Mouse buttons,Laser point for movement and accuracy.,It is fine.,Strongly agree,Somewhat disagree,Somewhat disagree,na,Q4yeQid9t4RTGMNuPUhJDIzfWC73,-MGspn3D50zWZvfzDvXr,panel,press/release,panel-press/release
101,3,3,2,1,1,2,6,6,6,3,6,Somewhat agree,6,Strongly agree,2,Strongly agree,4,I dont have any ideas on improvements ,Somewhat agree,maybe the outside perimeter can be a bit bigger,Strongly disagree,Neither agree/nor disagree,I did not notice any errors,Neither agree/nor disagree,44,Male,"Everyday, a few hours","Everyday, less than an hour","Action, FPS",A mouse,Just a regular mouse ,Mouse buttons,Left mouse click,I dont have any ideas on how to improve the accessibility,Neither agree/nor disagree,Somewhat agree,Somewhat agree,my only suggestion was to make the perimeter bigger because I kept missing it when I went fast  ,Q7aBhCeitPY4ZicDZsTgkiCp7Fv2,-MGz7MzRoAU1FIjA_hFo,drag,press/release,drag-press/release
102,3,3,2,5,5,4,3,2,3,3,3,Somewhat agree,5,Somewhat agree,5,Somewhat agree,3,Not having to click the second time.,Somewhat agree,Not have to second click,Strongly disagree,Somewhat agree,Not have to click twice.,Neither agree/nor disagree,49,Male,"Everyday, a few hours",Once or twice a week,1st person shooter. Driving simulation,A mouse,,Mouse buttons,,Not sure.,Strongly agree,Strongly disagree,Somewhat agree,Nope. Just no double clicks.,Q8T2T6eTJcV2eeYOSzqaaOHv75x1,-MGyyBzqYzjYBT2mWU7D,arrow,click,arrow-click
103,2,1,1,1,1,3,6,7,2,1,3,Strongly agree,7,Strongly agree,6,Strongly agree,1,Each arrow should be in fact double arrows like this: <---> because you always can go both ways.,Strongly agree,Maybe add a diagonal option.,Somewhat disagree,Strongly agree,I'm not sure what cause this but when clicking on the interface rapidly sometime you miss-click for no apparent reason. It can be when you click while in movement.,Strongly agree,37,Male,"Everyday, during a majority of business hours",Once or twice a week,"Minecraft, Starcraft",A mouse,It's a simple laser mouse.,Mouse buttons,It's a simple laser mouse.,,Strongly agree,Strongly agree,Neither agree/nor disagree,I don't see anything more.,QeBKrMU3BtMeiikNIEOxxd4vkDH3,-MGsq4-KJiwLhc-Bx9g0,arrow,click,arrow-click
104,6,5,5,7,5,6,6,7,5,5,6,Somewhat agree,7,Strongly agree,4,Somewhat agree,5,rotation speed improved in the circle ,Strongly agree,slow to  the speed ,Neither agree/nor disagree,Strongly agree,slow to the speed and fit to the arrow ,Somewhat agree,30,Male,"Everyday, during a majority of business hours","Everyday, a few hours",car race games ,A mouse,nothing ,Mouse buttons,nothing ,good ,Strongly agree,Somewhat agree,Neither agree/nor disagree,nothing ,QneF8aP4ABc7KsUOSEVm29RIywx1,-MGz3P_dpUk2CfRk8IiI,arrow,click,arrow-click
105,7,1,1,5,7,6,7,1,1,1,7,Strongly agree,7,Neither agree/nor disagree,7,Somewhat agree,7,yes,Strongly agree,good,Somewhat agree,Strongly agree,nothing,Strongly agree,29,Male,"Everyday, a few hours","Everyday, a few hours",yes,A mouse,good,An assistive device,good,yes,Strongly agree,Somewhat agree,Somewhat agree,yea,RFabaVyt1lOIbe25aQHueUdHAtw2,-MJdAcNtuDgg8EBeYKDT,panel,press/release,panel-press/release
106,6,3,3,4,4,3,5,6,5,2,5,Somewhat agree,4,Strongly agree,5,Strongly agree,4,Take away the count down and just have them do 36 in a row like practice.,Strongly agree,I found myself missing the outside ring which would move the ring again maybe make that a bit bigger,Somewhat agree,Somewhat agree,It was easy to reclick again and align,Somewhat agree,36,Male,"Everyday, during a majority of business hours","Everyday, a few hours",all different kinds you heard of it I played it,A mouse,regular mouse,Mouse buttons,regular mouse,Do not rally know abnout this one. ,Neither agree/nor disagree,Strongly disagree,Neither agree/nor disagree,Make the line a little thicker or different colors ,RUoitXT0YSd9zTOLVOOOxXQ5iRz1,-MHO1bm9kGqi30jgxAG9,target,click,target-click
107,5,3,2,1,3,3,2,2,2,1,3,Somewhat agree,6,Somewhat agree,6,Strongly agree,2,Move or rotate by holding the mouse button rather than clicking to start and then clicking again to stop.,Somewhat agree,Move or rotate by holding the mouse button rather than clicking to start and then clicking again to stop.,Somewhat disagree,Somewhat agree,Making the goal a bright color.,Strongly agree,21,Male,"Everyday, during a majority of business hours",Once or twice a week,RPGs,A mouse,,Mouse buttons,,It allows for great accessibility.,Strongly agree,Strongly disagree,Somewhat disagree,,RawtcgyPA3dV0jBV6UKhjTu6pkx1,-MGszoSexYY5LN8vF3Nr,panel,click,panel-click
108,7,7,4,3,3,6,5,7,2,1,5,Strongly agree,7,Somewhat agree,5,Strongly agree,1,no more at the moment,Strongly agree,it was excellent,Strongly disagree,Strongly agree,it was great,Strongly agree,30,Female,"Everyday, during a majority of business hours",Once or twice a week,racing,A mouse,just a normal mouse,Keyboard,normal keyboard,it was okay,Strongly agree,Strongly agree,Strongly agree,none,RkMTP3i0FnO4TKKGnxgkInzqZZj1,-MHO6WDyrHcGTkfrtJx_,arrow,click,arrow-click
109,6,4,3,6,5,5,6,5,5,5,5,Somewhat agree,6,Strongly agree,4,Strongly agree,5,yes,Strongly agree,yes,Strongly agree,Somewhat agree,yes,Somewhat agree,35,Male,"Everyday, a few hours","Everyday, less than an hour",Sports,A mouse,The cursor is very useful.It allows many applications to run faster.,Mouse buttons,Many jobs are done on the computer only with the click of a mouse,yes,Somewhat agree,Strongly agree,Somewhat agree,yes,SCbW7M9eFCU97wioz2MtgG7H1Jv2,-MGtLiBPZccaAPkus7M3,panel,click,panel-click
110,6,3,3,5,6,7,6,5,7,4,7,Strongly agree,6,Strongly agree,4,Somewhat agree,5,good mind,Strongly agree,good mind,Somewhat agree,Strongly agree,good mind,Somewhat agree,43,Female,"Everyday, during a majority of business hours","Everyday, a few hours",GTA,A mouse,mouse,Mouse buttons,click mouse,good mind,Somewhat agree,Strongly agree,Somewhat agree,good mind,SJX8B8pi1pYEcb1LSNdjQT5ICrw1,-MHOHW7C844oAS1O_-FC,drag,click,drag-click
111,3,2,1,5,2,1,3,4,2,1,3,Somewhat agree,6,Strongly agree,7,Strongly agree,2,I think it's good just as is,Somewhat agree,I think the control speed was perfectly fine,Somewhat disagree,Somewhat agree,To reposition itself when needed,Neither agree/nor disagree,40,Female,"Everyday, during a majority of business hours",Rarely,solitaire,A mouse,,Mouse buttons,,Maybe no timer in between,Somewhat agree,Somewhat disagree,Somewhat disagree,Not that i can think of,TdQv0GF71HagJTR34LZuMLQoaxO2,-MGssRh1VEPkHs4MvJ1E,drag,press/release,drag-press/release
112,2,2,2,1,2,2,4,6,3,3,6,Strongly agree,6,Strongly agree,6,Strongly agree,3,I don't think it really needs to be improved as it was very simple to learn and execute. Perhaps you could rotate the dial by clicking on the dial but it worked well as it was,Strongly agree,The interface allowed for me to move the object at the speed of my mouse. Really the only thing that could increase the speed is to be able to move the dial by clicking and dragging it rather than clicking on the ring to rotate it.,Strongly disagree,Strongly agree,Perhaps you could slow the rotation speed or make the dial stick when it hits its target but I think the interface worked very well and did not need much or any improving,Neither agree/nor disagree,36,Male,"Everyday, during a majority of business hours","Everyday, a few hours",RPGs,A mouse,During one of the tests I was delayed from responding by a computer pop up for a few seconds. My mouse was otherwise effective,Mouse buttons,Use buttons on side of mouse to click,I only used a mouse to control the cursor and it was very effective. I am not sure what an assistive device is so I can't say I know the answer to that.,Strongly agree,Somewhat disagree,Neither agree/nor disagree,No it was very efficient,Ti70UEMLCFNHJi9Hhzojkm1iwCx2,-MGt5WOyBmVTEXjg8cN_,drag,press/release,drag-press/release
113,6,6,5,6,6,6,6,5,2,2,5,Neither agree/nor disagree,3,Somewhat agree,6,Neither agree/nor disagree,6,good,Neither agree/nor disagree,good,Somewhat agree,Somewhat agree,nothing,Neither agree/nor disagree,39,Male,"Everyday, less than an hour","Everyday, less than an hour",msi gl75,A mouse,nothing,Mouse buttons,nothing,good,Neither agree/nor disagree,Neither agree/nor disagree,Neither agree/nor disagree,good,Tl56kkCOvrODlKxcebfceeqvxoM2,-MHNseFsM8RqraDmcBnK,targetdrag,press/release,targetdrag-press/release
114,2,2,1,1,1,1,3,4,3,1,2,Somewhat agree,6,Strongly agree,6,Strongly agree,2,make double clicking on the arrows to move a little stop highlighting texr,Strongly agree,set a speed multipler,Strongly disagree,Strongly agree,you could have an undo button,Somewhat agree,34,Male,"Everyday, during a majority of business hours","Everyday, a few hours",fps shooters and side scrolling games,A mouse,its a left handed mouse,Mouse buttons,left handed mouse,select they size of the controls,Strongly agree,Strongly disagree,Strongly disagree,allow easier multi taps instead of holding the button down,UI8JnzOi7WUf32diPOHtX85AdEB3,-MJd0jPe36FljOc97-xg,panel,press/release,panel-press/release
115,6,6,6,5,6,6,7,6,4,2,6,Strongly agree,5,Strongly agree,2,Strongly agree,6,Respond to my pressing on the mouse a bit quicker,Somewhat agree,It was a bit slow when I clicked on the mouse,Somewhat disagree,Somewhat agree,I didn't experience any errors.,Somewhat agree,28,Female,"Everyday, during a majority of business hours",Rarely,"simulation like the sims, building games",A trackpad,laptop with trackpad,Trackpad buttons,it's a laptop with a trackpad,I don't know. I'm not familiar with assistive devices.,Somewhat agree,Somewhat agree,Somewhat disagree,"when I clicked, it took a second to register my click. Text was also being highlighted when I clicked repetitively.",UJEsuZE4dndKwpgKwGr8rUyQ4Xz1,-MHO6jPvO9mHTTfj8f2I,panel,press/release,panel-press/release
116,2,3,4,6,4,2,4,5,5,3,3,Somewhat disagree,3,Neither agree/nor disagree,4,Somewhat agree,5,OK,Somewhat disagree,OK,Somewhat disagree,Neither agree/nor disagree,OK,Somewhat disagree,47,Female,"Everyday, less than an hour","Everyday, less than an hour",GOOD,A trackpad,GOOD,Keyboard,GOOD,OK,Somewhat disagree,Neither agree/nor disagree,Somewhat agree,OK,UKufBAqf8mgquPUMpoglg1lY93m1,-MGt6CvVOMoDGSegM-Tf,drag,press/release,drag-press/release
117,6,7,5,4,5,7,6,5,5,5,7,Somewhat agree,3,Strongly agree,5,Neither agree/nor disagree,6,click to the arrow move to the circle ,Somewhat agree,slow to move the mouse,Somewhat agree,Strongly agree,nothing ,Strongly agree,30,Male,"Everyday, during a majority of business hours","Everyday, a few hours",car race games ,A mouse,nothing ,Mouse buttons,nothing ,move to the cursor in slow mode ,Somewhat agree,Strongly agree,Somewhat agree,nothing ,UudEnOTc2jMIOEGn2rPUVclKCDw2,-MGstasO3W2QFsUx5Rw7,arrow,click,arrow-click
118,5,3,2,1,1,2,1,4,1,1,5,Strongly agree,7,Strongly agree,7,Strongly agree,2,Nothing I can think of,Strongly agree,Maybe separate movement and rotation into 2 separate actions,Strongly disagree,Strongly disagree,I can't think of any because I didn't have any errors,Somewhat agree,35,Male,"Everyday, during a majority of business hours","Everyday, a few hours",,A mouse,,Mouse buttons,,,Strongly agree,Somewhat disagree,Strongly disagree,,V5gVvDONepTEymJrpqpFrLdt9882,-MGsx9GvdBZpkm8bQMWb,targetdrag,click,targetdrag-click
119,6,2,2,6,2,5,6,2,3,2,6,Strongly agree,6,Somewhat agree,3,Strongly agree,2,NICE,Somewhat agree,NICE,Somewhat agree,Strongly agree,NICE,Somewhat agree,33,Male,"Everyday, a few hours","Everyday, a few hours",The game in most engage game ,A mouse,Nice moviing,Mouse buttons,Very nice,NICE,Somewhat agree,Strongly agree,Somewhat agree,NICE,VHEJmYFxnubq3Hi76TnjnZh3CDU2,-MGzL09wgVQBBINmRSJp,panel,click,panel-click
120,5,6,5,7,5,4,6,7,6,4,6,Somewhat agree,7,Strongly agree,6,Somewhat agree,2,interface speed decrease that time improved to the intuitive ,Somewhat agree,slow to move the interface ,Somewhat disagree,Somewhat agree,full attention is given to the task ,Strongly agree,32,Female,"Everyday, a few hours","Everyday, a few hours",car races ,A mouse,no,Mouse buttons,no,interface is moving to the slow  ,Somewhat agree,Strongly agree,Somewhat agree,no,Va6Apgxm9xSsaTpOYOZGdACjLKn2,-MJd9vZG3BpNZVmRX3Pf,panel,press/release,panel-press/release
121,5,3,2,1,1,2,1,4,2,1,3,Somewhat agree,7,Strongly agree,7,Strongly agree,1,It gets stuck every once and awhile which makes it take a little longer,Somewhat agree,Let it move faster without getting stuck,Somewhat disagree,Somewhat agree,If you hold down the button too long it gets stuck. Besides that it was easy to use,Strongly agree,44,Female,"Everyday, a few hours","Everyday, a few hours",Sports,A trackpad,none,Trackpad buttons,none,Not sure how to improve,Somewhat agree,Somewhat disagree,Somewhat disagree,Other than getting stuck it was easy to use,VfkymAz8I5V94AEKyEzFuYvlnJw2,-MJdGdt813xw9jWTT3_I,panel,press/release,panel-press/release
122,2,2,2,2,2,2,2,3,3,2,2,Strongly agree,3,Strongly agree,2,Strongly agree,5,Maybe with a color indicator showing that you've clicked the item.,Somewhat agree,"I'm not really sure, this seemed pretty efficient.",Strongly disagree,Strongly agree,"I don't have a suggestion for this, it seemed fine.",Neither agree/nor disagree,27,Non-binary,"Everyday, during a majority of business hours",Once or twice a week,Tetris,A mouse,Wireless mouse,Mouse buttons,Normal buttons,I do not know about using assistive technology.,Neither agree/nor disagree,Neither agree/nor disagree,Neither agree/nor disagree,No,Vhv4wmfWeJZybp4H1TRgRbJnaw93,-MGz8FtVJ-ugaaykRe-a,drag,click,drag-click
123,3,3,3,5,4,5,3,2,2,2,7,Strongly agree,3,Strongly agree,4,Strongly agree,5,no changes needed. it was very intuitive,Somewhat agree,it could be more responsive and quicker when I am trying to move the objects,Somewhat disagree,Somewhat agree,"when i was switching quickly between controls, it got stuck in the movement/direction and kept going on its own. this should not have happened and it should have released the direction when I no longer had my mouse on that direction arrow",Neither agree/nor disagree,38,Male,"Everyday, during a majority of business hours","Everyday, a few hours",strategic and first person shooter,A mouse,i have a wired usb mouse,Mouse buttons,i have a left and right mouse button to click with. ,n/a,Neither agree/nor disagree,Neither agree/nor disagree,Somewhat disagree,make the system more responsive so things move quicker,VvphcOw6bNfQae8DA5yZrom0MOE2,-MHO6HclokXBGttz4il9,panel,press/release,panel-press/release
124,4,3,3,4,4,4,4,4,4,3,4,Strongly agree,3,Strongly agree,3,Strongly agree,5,"the interface was fine and super easy to learn, it just wasn't clear that I could just move on from the trials.",Strongly agree,It was fine and easy to control.,Neither agree/nor disagree,Somewhat agree,It was fine.,Somewhat agree,39,Female,"Everyday, during a majority of business hours","Everyday, less than an hour",multiplayer games,A mouse,it is wireless,Mouse buttons,mouse only,The controls would have been better if I could have used the arrow keys or even a percentage was on the wheel.,Neither agree/nor disagree,Somewhat agree,Somewhat disagree,If there was a line chat in the background it might have been better,VyKPVAN4rqOYZsOD4nko7XDf6SZ2,-MHOLzMk6dGF3oeD9Esi,arrow,press/release,arrow-press/release
125,3,2,2,1,1,1,2,4,1,1,2,Strongly agree,5,Strongly agree,6,Strongly agree,2,"Rather than using the circle to control the movement of the hand, I think I would have liked to have been able to click and move the hand directly.  That's a minor complaint though.",Strongly agree,"I think being able to click and drag directly, instead of clicking once to turn on the function, and clicking again to turn off the function would have been easier.  It is not that this way is necessarily better, it is just the one I am more used to.",Strongly disagree,Strongly agree,"I do not think I made any errors, but I think being able to click the hand directly to move it instead of the surrounding circle would have been a bit easier.",Somewhat agree,38,Male,"Everyday, during a majority of business hours","Everyday, a few hours",Sports games generally.,A mouse,"It's just a standard Logitech mouse.  I move it on a mouse pad to move my cursor, on a desk that slides out.  It is right next to my keyboard.",Mouse buttons,"I use the buttons on my mouse for clicking, nothing out of the ordinary.",Maybe alternative keyboard commands in lieu of using a mouse would make it more accessible for some people.,Strongly agree,Somewhat agree,Somewhat agree,"I would add arrows in the directions of Northwest, Northeast, Southwest and Southeast, to make moving the control interface in diagonal directions easier.",WA4UJhPoybOuFXnJQJrE7KR00b53,-MHO3De30h7HtpPN7kdQ,arrow,click,arrow-click
126,3,2,2,1,2,3,3,3,1,1,3,Strongly agree,6,Strongly agree,7,Strongly agree,2,The interface is perfect just as is.,Strongly agree,Build the interface so the mouse cursor is the one that turns to the dragged object.in a specif box on the interface.,Strongly disagree,Strongly agree,The interface is perfect just as is.,Strongly agree,31,Male,"Everyday, during a majority of business hours","Everyday, less than an hour","First person shooter, Puzzle and casual games",A mouse,,Mouse buttons,,,Strongly agree,Somewhat disagree,Strongly disagree,,XTE1E6MhlPe5IOxjefk5BcqYWke2,-MHOGE1kJFc0HHq322kJ,targetdrag,press/release,targetdrag-press/release
127,5,4,2,1,1,1,1,2,1,2,3,Strongly agree,7,Strongly agree,7,Strongly agree,1,I only had trouble with the circle one but even that was easy.,Strongly agree,It was easy already/,Strongly disagree,Strongly agree,It was already easy to do.,Neither agree/nor disagree,60,Female,"Everyday, during a majority of business hours","Everyday, less than an hour",Homescape Soduku,A mouse,,Mouse buttons,,I only know what it was like using a mouse.,Neither agree/nor disagree,Neither agree/nor disagree,Strongly agree,"If this was the circle one, it was more difficult than the rest.",XpqkhwZVSCQnKqd2TMMCJjbvPxc2,-MGsok2TlI3oNiQdVeGE,targetdrag,press/release,targetdrag-press/release
128,6,7,7,4,5,4,5,6,4,3,6,Somewhat disagree,4,Somewhat agree,4,Neither agree/nor disagree,5,with arrows,Somewhat agree,mouse directions,Somewhat disagree,Neither agree/nor disagree,increase servers,Neither agree/nor disagree,26,Male,"Everyday, less than an hour","Everyday, less than an hour",video games,A mouse,wireless mouse,Mouse buttons,mouse pad,good,Neither agree/nor disagree,Somewhat agree,Neither agree/nor disagree,reduce targets,Xydugw50UiOc0bh26PfOGIweV9L2,-MGss7HDH06Aiq7sy0gz,targetdrag,press/release,targetdrag-press/release
129,6,7,5,6,4,6,5,5,6,6,6,Somewhat agree,6,Strongly agree,4,Somewhat agree,5,YES,Somewhat agree,NICE ,Somewhat agree,Neither agree/nor disagree,NO,Somewhat agree,32,Female,"Everyday, during a majority of business hours","Everyday, a few hours",PUBG,A mouse,,Mouse buttons,,GOOD ,Somewhat agree,Strongly agree,Somewhat agree,YES,Y0btbieDFOTUpifKrT6Zy0mV3c13,-MGz-0bgmZap3FQdQBGy,arrow,click,arrow-click
130,6,7,5,6,5,6,7,6,7,5,7,Somewhat agree,6,Strongly agree,6,Strongly agree,7,good,Somewhat agree,nice,Somewhat agree,Strongly agree,well,Strongly agree,49,Male,"Everyday, a few hours","Everyday, a few hours",pubg,A mouse,,Mouse buttons,,good,Strongly agree,Somewhat agree,Strongly agree,well,YFyObHLRL6fx2xfwCkkuMyb1z343,-MGywelaIEV6PrtaEqcV,panel,click,panel-click
131,6,4,3,3,3,5,3,5,4,3,4,Somewhat agree,5,Somewhat agree,5,Somewhat agree,3,the buttons flash with each click.,Somewhat agree,allow for bigger buttons,Somewhat disagree,Neither agree/nor disagree,have sound effect for each click,Somewhat agree,31,Male,"Everyday, during a majority of business hours","Everyday, a few hours",card games,A mouse,,Mouse buttons,,quicker reactions times,Somewhat agree,Somewhat agree,Somewhat agree,,Ymv50ZPGUeVMXJlVi8o0v64PwYd2,-MGt18KfKaEL9ICVNDy3,panel,press/release,panel-press/release
132,4,1,7,5,6,4,6,4,6,3,6,Somewhat agree,7,Neither agree/nor disagree,7,Somewhat agree,5,improved ,Somewhat agree,faster,Somewhat agree,Somewhat disagree,nothing,Somewhat disagree,61,Female,"Everyday, a few hours","Everyday, less than an hour",2,A mouse,the improve in the game ,Mouse buttons,good ,very esey,Somewhat agree,Somewhat agree,Neither agree/nor disagree,good ,YsrtPFYZuFSjbmzN3w2uzmuTtLx1,-MGt5Npuhott8-ONwXXs,drag,press/release,drag-press/release
133,4,4,3,3,3,4,3,2,3,2,4,Somewhat agree,5,Strongly agree,5,Strongly agree,3,Make it so you don't have to press again to disable it.,Somewhat agree,make it so that you can simply just drag with mouse and maybe rotate with middle mouse button.,Somewhat disagree,Neither agree/nor disagree,Make it so you don't have to press to release and also make it so that the controls are more responsive. ,Somewhat agree,26,Male,"Everyday, during a majority of business hours","Everyday, a few hours","RPG, FPS, ARPG, MMO",A mouse,,Mouse buttons,,Just make it so that the mouse controls everything.,Strongly agree,Somewhat agree,Neither agree/nor disagree,No,YyKkAVLsCETLQvCzA4yYJE9b4ht1,-MHO9b1QY-afrWi0t8k5,panel,click,panel-click
134,6,5,3,5,4,4,5,2,4,4,3,Somewhat disagree,4,Neither agree/nor disagree,6,Neither agree/nor disagree,4,nice,Somewhat agree,like this interface,Somewhat disagree,Somewhat disagree,nothing error,Neither agree/nor disagree,29,Male,"Everyday, during a majority of business hours","Everyday, a few hours",battle ground,A mouse,nothing,Mouse buttons,nothing,no it is good,Neither agree/nor disagree,Somewhat disagree,Somewhat disagree,no,ZYT2dGTeLddTTuItNOtZpBdStdB2,-MGsuw2kqcr4X3dHYtI7,target,click,target-click
135,4,5,3,3,6,3,5,2,6,2,5,Somewhat disagree,3,Neither agree/nor disagree,5,Somewhat disagree,3, In this post I will try to shed some light on the hidden facets of intuitive user interface. Read more: Why Experience Design is the next big thing ,Somewhat disagree, There are many techniques involved in crafting beautiful and functional interfaces. ... With quick wins and long strategies to start improving conversion tomorrow. ... Fading the extras allows visitors to easily focus their attention on the ... These hover controls can be achieved with some simple CSS code,Neither agree/nor disagree,Somewhat disagree,It is always better to design interfaces that prevent errors from happening in the first place. Promote data quality to reduce the occurrence of errors.,Neither agree/nor disagree,48,Female,"Everyday, a few hours","Everyday, a few hours",Moto Racing,A mouse,,Mouse buttons,," Designlab is a part-time, online course that helps you improve your UI/UX design skills through 1-on-1 mentorship from an expert designer.",Somewhat disagree,Neither agree/nor disagree,Somewhat agree,"Web design consists, for the most part, of interface design. ... We can do this by adding padding and, in some cases, also converting the ... These hover controls can be achieved with some simple CSS code, without any JavaScript. ... There are plenty of other ways to hide the inner <div>, such as offsetting it ",Zl8AWkOLThPiz5Z6WHUGLbcSQyN2,-MGszs3QDA9oY75iIS_Z,arrow,press/release,arrow-press/release
136,4,1,3,5,2,5,4,5,2,1,5,Somewhat agree,6,Somewhat agree,6,Somewhat agree,4,good,Somewhat agree,good,Somewhat agree,Somewhat disagree,none,Somewhat agree,30,Male,"Everyday, during a majority of business hours","Everyday, a few hours",,A mouse,,Mouse buttons,,good,Somewhat agree,Somewhat disagree,Somewhat agree,none,Zni6Umv8kXRjlP2RCL2BnZXfO8z2,-MGsu3JxdlgSeZP_LMcF,targetdrag,press/release,targetdrag-press/release
